election_name,method,n_cands,sigma_UM_worst_case_asin,sigma_UM_average_asin,sigma_UM_worst_case_odds,sigma_UM_average_odds,sigma_UM_winner_set_worst_case_asin,sigma_UM_winner_set_average_asin,sigma_UM_winner_set_worst_case_odds,sigma_UM_winner_set_average_odds,sigma_IIA_worst_case,sigma_IIA_average,sigma_IIA_all_subset_worst_case,sigma_IIA_all_subset_average,sigma_IIA_winner_set_worst_case,sigma_IIA_winner_set_average
east_lothian_2012_ward2,3-approval,5,0.9398858062729846,0.9939885806272984,0.982376636455186,0.9982376636455186,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9375,1.0,1.0
east_lothian_2012_ward2,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.6666666666666667,0.9583333333333334,1.0,1.0
east_lothian_2012_ward2,plurality,5,0.7501281559375628,0.9249489619086744,0.7447374252160424,0.9352597495014532,0.7736689173103346,0.9416459673886489,0.7838695061169005,0.9519802098833424,0.6666666666666667,0.8666666666666667,0.0,0.7708333333333334,1.0,0.9
east_lothian_2012_ward2,stv,5,0.7501281559375628,0.9249489619086744,0.7447374252160424,0.9352597495014532,0.7736689173103346,0.9416459673886489,0.7838695061169005,0.9519802098833424,0.6666666666666667,0.8666666666666667,0.0,0.7708333333333334,1.0,0.9
east_lothian_2012_ward2,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
north_lanarkshire_2022_ward21,borda,5,0.963908555465629,0.9963908555465629,0.9935993975903613,0.9993599397590363,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.0,0.9375,1.0,1.0
north_lanarkshire_2022_ward21,3-approval,5,0.9167649141774332,0.9880673469643062,0.9665738161559887,0.996017321374635,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.8333333333333334,0.9947916666666666,1.0,1.0
north_lanarkshire_2022_ward21,2-approval,5,0.9825002505258217,0.9982500250525821,0.9984902811851292,0.9998490281185128,1.0,1.0,1.0,1.0,0.6666666666666667,0.9,0.0,0.8177083333333333,1.0,1.0
north_lanarkshire_2022_ward21,plurality,5,0.641097034263591,0.9331007534015529,0.5557514323490523,0.9196340123286311,0.6899104997519363,0.922477624937984,0.6405886909372578,0.9101471727343144,0.5,0.8333333333333334,0.0,0.796875,1.0,0.9333333333333332
north_lanarkshire_2022_ward21,stv,5,0.641097034263591,0.9623597284789414,0.5557514323490523,0.9554241713534181,0.641097034263591,0.9058993211973532,0.5557514323490523,0.8885604283835454,0.6666666666666667,0.7666666666666666,0.0,0.8072916666666666,1.0,0.7333333333333333
north_lanarkshire_2022_ward21,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
highland_2022_tain_and_easter_ross,borda,5,0.8567317101816228,0.9856731710181623,0.9051317614424411,0.9905131761442441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
highland_2022_tain_and_easter_ross,3-approval,5,0.8567317101816228,0.9856731710181623,0.9051317614424411,0.9905131761442441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
highland_2022_tain_and_easter_ross,2-approval,5,0.9639497357268328,0.9963949735726831,0.9936139332365747,0.9993613933236574,0.9639497357268328,0.9939916226211388,0.9936139332365747,0.9989356555394292,0.8333333333333334,0.9,0.0,0.859375,1.0,0.8
highland_2022_tain_and_easter_ross,plurality,5,0.7873834902725916,0.9158566113197564,0.8059426768340785,0.9287625841099144,0.7873834902725916,0.9312788586647264,0.8059426768340785,0.9386754589902052,0.8333333333333334,0.9,0.0,0.7552083333333333,1.0,0.9
highland_2022_tain_and_easter_ross,stv,5,0.7873834902725916,0.9158566113197564,0.8059426768340785,0.9287625841099144,0.7873834902725916,0.9312788586647264,0.8059426768340785,0.9386754589902052,0.8333333333333334,0.9,0.0,0.7552083333333333,1.0,0.9
highland_2022_tain_and_easter_ross,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shetland_2022_ward7,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
shetland_2022_ward7,3-approval,5,0.7523325044689188,0.9752332504468919,0.7484575225439014,0.9748457522543902,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.0,0.9322916666666666,1.0,1.0
shetland_2022_ward7,2-approval,5,0.8834997370215675,0.9883499737021568,0.9358906988964796,0.9935890698896479,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.0,0.9166666666666666,1.0,1.0
shetland_2022_ward7,plurality,5,0.8834997370215675,0.9883499737021568,0.9358906988964796,0.9935890698896479,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.0,0.9427083333333334,1.0,1.0
shetland_2022_ward7,stv,5,0.8834997370215675,0.9883499737021568,0.9358906988964796,0.9935890698896479,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.0,0.9270833333333334,1.0,1.0
shetland_2022_ward7,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moray_2022_ward2,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moray_2022_ward2,3-approval,5,0.8085953095671305,0.9708587517109152,0.8387356013929815,0.979095403142711,0.8085953095671305,0.9680992182611884,0.8387356013929815,0.9731226002321636,0.5,0.8333333333333334,0.0,0.8489583333333333,1.0,0.7333333333333333
moray_2022_ward2,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.9375,1.0,1.0
moray_2022_ward2,plurality,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.33333333333333337,0.9739583333333334,1.0,0.9
moray_2022_ward2,stv,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.33333333333333337,0.9739583333333334,1.0,0.9
moray_2022_ward2,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
south_ayrshire_2012_ward3,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96875,1.0,1.0
south_ayrshire_2012_ward3,3-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666667,0.0,0.9322916666666666,1.0,1.0
south_ayrshire_2012_ward3,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9375,1.0,1.0
south_ayrshire_2012_ward3,plurality,5,0.6458745336295332,0.937046224673171,0.5639691369101023,0.9264983969072474,0.7245877131021777,0.9311469282755445,0.7010148321623731,0.9252537080405933,0.6666666666666667,0.8333333333333334,0.0,0.8385416666666666,1.0,0.9333333333333332
south_ayrshire_2012_ward3,stv,5,0.7245877131021777,0.9724587713102177,0.7010148321623731,0.9701014832162373,0.7245877131021777,0.9311469282755445,0.7010148321623731,0.9252537080405933,0.6666666666666667,0.8,0.0,0.8854166666666666,1.0,0.9333333333333332
south_ayrshire_2012_ward3,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward15,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward15,3-approval,5,0.8573284775125543,0.9857328477512555,0.9058706960614316,0.9905870696061431,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.0,0.9270833333333334,1.0,1.0
aberdeenshire_2012_ward15,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.33333333333333337,0.9375,1.0,1.0
aberdeenshire_2012_ward15,plurality,5,0.8122523805207581,0.9647147961754797,0.8441994247363374,0.9720784790589996,0.8348955812340383,0.9724825968723397,0.8765853658536585,0.9794308943089431,1.0,1.0,0.0,0.9166666666666666,1.0,1.0
aberdeenshire_2012_ward15,stv,5,0.8122523805207581,0.9647147961754797,0.8441994247363374,0.9720784790589996,0.8348955812340383,0.9724825968723397,0.8765853658536585,0.9794308943089431,1.0,1.0,0.0,0.9166666666666666,1.0,1.0
aberdeenshire_2012_ward15,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
inverclyde_2017_ward1,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.9895833333333334,1.0,1.0
inverclyde_2017_ward1,3-approval,5,0.9190964132168234,0.9919096413216824,0.9683812068581609,0.9968381206858161,1.0,1.0,1.0,1.0,0.5,0.6666666666666667,0.5,0.9479166666666666,1.0,0.6666666666666666
inverclyde_2017_ward1,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8854166666666666,1.0,1.0
