election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
falkirk_2022_ward5,6,0.921207722002815,0.9718834106671208,1.0,0.9333333333333333
moray_2017_ward6,6,0.9093990970122858,0.9093990970122858,1.0,0.9166666666666666
midlothian_2022_ward5,6,0.9574927665208375,1.0,1.0,0.9666666666666667
dumgal_2017_ward12,6,1.0,1.0,1.0,1.0
highland_2022_thurso,6,1.0,1.0,1.0,0.9666666666666667
perth_kinross_2017_ward1,6,0.9400980988032517,0.9400980988032517,1.0,0.9666666666666667
fife_2012_ward7,6,0.8437429992060923,1.0,1.0,1.0
fife_2012_ward20,6,1.0,1.0,1.0,1.0
eilean_siar_2017_ward9,6,0.9623207197101056,0.9623207197101056,1.0,1.0
east_ayrshire_2012_ward1,6,0.9338270387538141,1.0,0.9166666666666666,0.9833333333333333
stirling_2012_ward3,6,1.0,1.0,1.0,0.9333333333333333
north_lanarkshire_2022_ward9,6,1.0,1.0,1.0,1.0
south_lanarkshire_2012_ward7,6,1.0,1.0,1.0,1.0
east_ayrshire_2017_ward3,6,1.0,1.0,1.0,0.9666666666666667
sc_borders_2017_ward10,6,1.0,1.0,1.0,1.0
east_lothian_2012_ward7,6,1.0,1.0,1.0,1.0
dumgal_2017_ward4,6,1.0,1.0,1.0,1.0
north_lanarkshire_2022_ward17,6,0.8971141201742696,1.0,0.8333333333333334,0.95
dumgal_2012_ward8,6,1.0,1.0,1.0,0.9833333333333333
falkirk_2017_ward5,6,1.0,1.0,1.0,0.9666666666666667
highland_2017_ward7,6,1.0,1.0,1.0,1.0
falkirk_2017_ward6,6,1.0,1.0,1.0,1.0
inverclyde_2012_ward2,6,1.0,1.0,1.0,1.0
glasgow_2022_ward12,6,0.9818527879613339,1.0,1.0,1.0
angus_2012_ward2,6,0.8685988276129003,0.8685988276129003,1.0,1.0
south_ayrshire_2017_ward2,6,0.9108364579651086,0.9108364579651086,0.8472222222222222,0.8333333333333333
aberdeenshire_2022_ward16,6,1.0,1.0,0.9166666666666666,0.9833333333333333
north_lanarkshire_2017_ward18,6,1.0,1.0,1.0,0.9
fife_2017_ward20,6,1.0,1.0,0.7222222222222222,0.9333333333333333
south_lanarkshire_2022_ward17,6,1.0,1.0,1.0,1.0
north_ayrshire_2012_ward8,6,1.0,1.0,1.0,1.0
south_lanarkshire_2012_ward3,6,1.0,1.0,1.0,1.0
south_lanarkshire_2017_ward11,6,1.0,1.0,1.0,1.0
north_lanarkshire_2022_ward6,6,1.0,1.0,0.9166666666666666,0.95
argyll_bute_2022_ward2,6,0.9308007538854951,1.0,1.0,1.0
moray_2022_ward6,6,1.0,1.0,1.0,0.95
north_lanarkshire_2012_ward1,6,1.0,1.0,1.0,1.0
east_dunbartonshire_2017_ward1,6,0.8588777724705314,1.0,0.8888888888888888,0.95
renfrewshire_2022_ward12,6,1.0,1.0,1.0,1.0
north_lanarkshire_2012_ward4,6,1.0,1.0,1.0,1.0
west_lothian_2017_ward9,6,0.928702153689123,1.0,1.0,0.95
argyll_bute_2012_ward7,6,1.0,1.0,1.0,1.0
east_dunbartonshire_2022_ward6,6,1.0,1.0,1.0,1.0
north_lanarkshire_2012_ward6,6,1.0,1.0,1.0,1.0
clackmannanshire_2017_ward5,6,0.9659355271963801,0.9659355271963801,1.0,1.0
east_ayrshire_2012_ward3,6,1.0,1.0,1.0,1.0
inverclyde_2022_ward2,6,1.0,1.0,0.9166666666666666,0.9833333333333333
sc_borders_2022_ward4,6,1.0,1.0,1.0,1.0
stirling_2012_ward1,6,0.864620564089568,1.0,1.0,1.0
aberdeenshire_2017_ward11,6,0.9043258470805233,1.0,1.0,0.9666666666666667
dundee_2012_ward8,6,1.0,1.0,1.0,1.0
east_lothian_2012_ward5,6,1.0,1.0,0.7222222222222222,0.9333333333333333
perth_kinross_2017_ward9,6,1.0,1.0,0.9444444444444443,0.8833333333333333
angus_2012_ward4,6,0.9827366934458776,0.9827366934458776,0.8333333333333334,0.95
east_ayrshire_2022_ward2,6,0.9645866523966802,1.0,1.0,1.0
east_dunbartonshire_2012_ward3,6,1.0,1.0,1.0,1.0
argyll_bute_2012_ward3,6,0.9034574364830171,1.0,1.0,1.0
east_ayrshire_2012_ward9,6,1.0,1.0,0.9166666666666666,0.9833333333333333
east_lothian_2012_ward6,6,0.9097553415549912,1.0,1.0,1.0
midlothian_2012_ward1,6,1.0,1.0,1.0,1.0
perth_kinross_2012_ward9,6,1.0,1.0,0.9166666666666666,0.9833333333333333
aberdeenshire_2022_ward12,6,0.9780693130338536,1.0,0.9444444444444445,0.9166666666666666
glasgow_2022_ward11,6,1.0,1.0,1.0,0.9666666666666667
aberdeenshire_2012_ward12,6,0.9842203489998533,1.0,1.0,0.9666666666666667
south_lanarkshire_2022_ward16,6,0.934942283690394,0.934942283690394,0.861111111111111,0.8666666666666667
argyll_bute_2012_ward10,6,0.9204705971440093,1.0,1.0,0.9666666666666667
edinburgh_2017_ward10,6,0.887317270121058,1.0,1.0,0.9166666666666666
inverclyde_2022_ward3,6,1.0,1.0,1.0,1.0
south_ayrshire_2017_ward8,6,0.8733402333257277,1.0,1.0,0.9666666666666667
fife_2012_ward8,6,1.0,1.0,1.0,1.0
perth_kinross_2012_ward6,6,0.886510012049161,0.9249731568211282,1.0,1.0
fife_2012_ward12,6,1.0,1.0,1.0,1.0
aberdeenshire_2017_ward5,6,0.84442316987798,1.0,1.0,1.0
perth_kinross_2022_ward9,6,0.7813613480088327,0.7813613480088327,1.0,1.0
east_dunbartonshire_2022_ward1,6,0.84767173671843,0.84767173671843,1.0,0.95
north_lanarkshire_2012_ward20,6,1.0,1.0,1.0,1.0
east_ayrshire_2022_ward5,6,1.0,1.0,1.0,1.0
shetland_2022_ward4,6,1.0,1.0,1.0,1.0
fife_2017_ward19,7,0.9448723074844436,1.0,1.0,1.0
east_renfrewshire_2012_ward5,7,1.0,1.0,1.0,0.9714285714285714
dumgal_2022_ward11,7,1.0,1.0,1.0,1.0
glasgow_2022_ward20,7,1.0,1.0,1.0,1.0
clackmannanshire_2012_ward1,7,1.0,1.0,1.0,1.0
highland_2017_ward8,7,0.9064049665881946,1.0,1.0,1.0
edinburgh_2022_ward6,7,0.9613076833338242,0.9613076833338242,0.8571428571428571,0.9714285714285714
clackmannanshire_2022_ward1,7,0.906511126761999,1.0,1.0,0.9619047619047619
fife_2017_ward2,7,1.0,1.0,1.0,1.0
south_lanarkshire_2017_ward7,7,1.0,1.0,1.0,1.0
south_ayrshire_2012_ward4,7,0.9591967654109662,1.0,1.0,0.9904761904761905
highland_2012_ward15,7,1.0,1.0,1.0,1.0
highland_2017_ward16,7,1.0,1.0,1.0,1.0
west_dunbartonshire_2017_ward3,7,0.950872411673516,1.0,1.0,1.0
fife_2012_ward3,7,0.8338308052642232,0.8338308052642232,1.0,1.0
dundee_2012_ward3,7,1.0,1.0,1.0,1.0
inverclyde_2012_ward6,7,0.9109071790249252,1.0,1.0,0.9333333333333333
sc_borders_2022_ward8,7,1.0,1.0,1.0,1.0
orkney_2012_ward5,7,0.9358858860818167,1.0,1.0,0.9714285714285714
south_lanarkshire_2017_ward9,7,1.0,1.0,1.0,1.0
angus_2022_ward1,7,1.0,1.0,1.0,1.0
fife_2017_ward10,7,1.0,1.0,1.0,1.0
