election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
fife_2012_ward2,5,0.753759512441308,1.0,1.0,0.9333333333333333
edinburgh_2022_ward15,5,0.791487123083985,1.0,0.9333333333333332,0.8666666666666667
west_dunbartonshire_2017_ward4,5,1.0,1.0,0.9,0.9333333333333333
highland_2022_fort_william,5,1.0,1.0,1.0,0.9666666666666667
aberdeenshire_2017_ward7,5,0.7408450466364498,1.0,1.0,0.9666666666666667
east_renfrewshire_2012_ward3,5,0.8441294344690192,0.8441294344690192,0.9,0.8666666666666667
sc_borders_2017_ward2,5,0.7910401426257155,0.8042419117074534,0.8,0.7666666666666667
west_lothian_2012_ward9,5,1.0,1.0,1.0,0.9666666666666667
north_lanarkshire_2017_ward16,5,0.7169484315778378,1.0,0.9,0.8333333333333334
clackmannanshire_2012_ward4,5,0.793893852738161,1.0,1.0,0.8666666666666667
highland_2012_ward3,5,1.0,1.0,1.0,1.0
renfrewshire_2022_ward10,5,0.6859196058432496,0.6859196058432496,0.8666666666666666,0.7666666666666667
eilean_siar_2017_ward7,5,0.9706453228057929,1.0,1.0,1.0
shetland_2022_ward5,5,1.0,1.0,1.0,1.0
eilean_siar_2022_ward8,5,0.9125917681986087,0.9125917681986087,1.0,1.0
east_ayrshire_2017_ward5,5,0.8761023418730359,1.0,1.0,0.9333333333333333
falkirk_2012_ward4,5,1.0,1.0,1.0,0.8666666666666667
perth_kinross_2012_ward1,5,0.8035533217266894,1.0,1.0,0.9333333333333333
aberdeen_2022_ward11,5,0.9250566398838777,0.9250566398838777,1.0,1.0
perth_kinross_2012_ward7,5,0.9217671216362429,1.0,0.9,0.9
west_dunbartonshire_2022_ward5,5,0.913097383261115,1.0,1.0,0.9333333333333333
moray_2022_ward4,5,0.808726307077323,0.808726307077323,0.8,0.8333333333333334
moray_2012_ward6,5,0.864800940435018,1.0,0.9,0.9333333333333333
dumgal_2012_ward7,5,0.609690983944524,0.6183409256692819,0.8666666666666666,0.8333333333333334
angus_2017_ward6,5,0.9035950934167349,1.0,0.9333333333333332,0.9333333333333333
south_ayrshire_2017_ward7,5,0.7651984828400731,1.0,1.0,0.9333333333333333
north_lanarkshire_2012_ward16,5,0.7747810892700114,1.0,1.0,0.9333333333333333
orkney_2022_ward5,5,0.7335528129386361,0.8523580620267399,0.9,0.8666666666666667
renfrewshire_2017_ward11,5,1.0,1.0,1.0,0.9666666666666667
