metric_iia,metric_um,rule,tiebreak,candidate_size,iia_L,iia_U,um_L,um_U,n_pairs,sizes_used,overlap_counts_by_size
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,10.0,0.48023349436392915,0.505878119967794,0.528241635288552,0.5613383128658349,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,11.0,0.5003885003885004,0.5308469308469308,0.5111981165621461,0.560405474733091,26,"[""11""]","{""11"": 26}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,12.0,0.48541666666666666,0.5121212121212122,0.4810027363474599,0.5711481035391284,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,13.0,0.4683299339549339,0.5198135198135198,0.46734413104196926,0.5450290207660404,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,random,lex,14.0,0.5073260073260074,0.5073260073260074,0.5778219737423004,0.5778219737423004,1,"[""14""]","{""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,,0.9993948054476675,0.9998139544450875,0.9979187074496656,0.9990860378810584,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,4.0,0.9907407407407409,1.0,0.9951265105731856,1.0,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,5.0,1.0,1.0,1.0,1.0,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,6.0,0.9990243902439021,0.9999186991869918,0.9977710915744991,0.9997617177890923,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,7.0,0.9994258696386354,0.9998986828774064,0.9975618426196359,0.9997634437394939,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,8.0,0.9993673798021625,0.9998562226823097,0.9952263001197009,0.9989580255740693,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,9.0,0.9996973365617434,1.0,0.9971498233545805,1.0,118,"[""9""]","{""9"": 118}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,10.0,0.9997181964573266,1.0,0.995133492955895,1.0,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,11.0,0.9992229992229992,1.0,0.9894784085745361,1.0,26,"[""11""]","{""11"": 26}"
