VoteKit PreferenceProfile
Candidates
(Zohran Kwame Mamdani:Zo),(overvote:ov),(Jessica Ramos:Je),(Write-in:Wr),(Paperboy Love Prince:Pa),(Michael Blake:Mi),(Zellnor Myrie:Ze),(Whitney R. Tilson:Wh),(Brad Lander:Br),(Andrew M. Cuomo:An),(Selma K. Bartholomew:Se),(Adrienne E. Adams:Ad),(Scott M. Stringer:Sc)
Max Ranking Length
5
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,&,Weight,&
&,{'Ad'},{'An'},{'Pa'},,,&,1/1,&
&,{'Ad'},{'An'},{'Ze'},,,&,1/1,&
&,{'Ad'},{'An'},{'Zo'},,,&,1/1,&
&,{'Ad'},{'An'},,,,&,4/1,&
&,{'Ad'},{'An'},,,,&,14/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Sc'},,,&,1/1,&
&,{'Ad'},{'An'},{'Ze'},,,&,1/1,&
&,{'Ad'},{'An'},{'Zo'},{'Ze'},,&,1/1,&
&,{'Ad'},{'An'},,,,&,2/1,&
&,{'Ad'},{'An'},{'Br'},,,&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},,,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},,,&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Mi'},&,7/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Pa'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Sc'},&,17/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Se'},&,4/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Wh'},&,6/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Wr'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Ze'},&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},{'Zo'},&,9/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},,&,11/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Je'},&,7/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Pa'},&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Sc'},&,19/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Se'},&,5/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Wh'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Ze'},&,10/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},{'Zo'},&,8/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},,&,12/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},{'Je'},&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},{'Mi'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},{'Sc'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},{'Wh'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},{'Ze'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},{'Zo'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Pa'},,&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Je'},&,43/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Mi'},&,51/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Pa'},&,4/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Se'},&,18/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Wh'},&,27/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Wr'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Ze'},&,62/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},{'Zo'},&,116/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,112/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Je'},&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Mi'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Pa'},&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Sc'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Wh'},&,5/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Ze'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},{'Zo'},&,4/1,&
&,{'Ad'},{'An'},{'Br'},{'Se'},,&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},{'Je'},&,4/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},{'Mi'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},{'Pa'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},{'Sc'},&,7/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},{'Se'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},{'Ze'},&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},,&,8/1,&
&,{'Ad'},{'An'},{'Br'},{'Wr'},,&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Je'},&,8/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Mi'},&,8/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Pa'},&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Sc'},&,30/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Se'},&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Wh'},&,7/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},{'Zo'},&,23/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},,&,25/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Je'},&,12/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Mi'},&,9/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Pa'},&,7/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Sc'},&,78/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Se'},&,4/1,&
