VoteKit PreferenceProfile
Candidates
(Zohran Kwame Mamdani:Zo),(overvote:ov),(Jessica Ramos:Je),(Write-in:Wr),(Paperboy Love Prince:Pa),(Michael Blake:Mi),(Zellnor Myrie:Ze),(Whitney R. Tilson:Wh),(Brad Lander:Br),(Andrew M. Cuomo:An),(Selma K. Bartholomew:Se),(Adrienne E. Adams:Ad),(Scott M. Stringer:Sc)
Max Ranking Length
5
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,&,Weight,&
&,{'Mi'},{'Zo'},{'Wh'},{'Sc'},{'Ze'},&,1/1,&
&,{'Mi'},{'Zo'},{'Wh'},{'Se'},{'Je'},&,2/1,&
&,{'Mi'},{'Zo'},{'Wh'},{'Ze'},{'Br'},&,1/1,&
&,{'Mi'},{'Zo'},{'Wh'},{'An'},,&,1/1,&
&,{'Mi'},{'Zo'},{'Wh'},,,&,1/1,&
&,{'Mi'},{'Zo'},{'Wr'},{'An'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Wr'},,,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},{'An'},&,4/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},{'Br'},&,17/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},{'Je'},&,2/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},{'Pa'},&,3/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},{'Sc'},&,6/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Ad'},,&,2/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Ad'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Br'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Je'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Pa'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Sc'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},{'Wh'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'An'},,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Br'},{'Ad'},&,12/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Br'},{'An'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Br'},{'Pa'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Br'},{'Sc'},&,4/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Br'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Br'},,&,3/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Je'},{'Ad'},&,2/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Je'},{'An'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Je'},{'Br'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Je'},{'Pa'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Je'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Je'},,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Pa'},{'Br'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Pa'},{'Sc'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Pa'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Pa'},{'Wr'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Pa'},,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Sc'},{'Ad'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Sc'},{'Br'},&,2/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Sc'},{'Se'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Se'},{'Ad'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Se'},{'Je'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Se'},{'Pa'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Wh'},{'Ad'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Wh'},{'Br'},&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},{'Sc'},,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},,,&,10/1,&
&,{'Mi'},{'Zo'},{'Br'},{'Ad'},,&,1/1,&
&,{'Mi'},{'Zo'},{'An'},,,&,1/1,&
&,{'Mi'},{'Zo'},,,,&,63/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},,,,,&,1/1,&
&,{'Mi'},{'Ad'},,,,&,1/1,&
&,{'Mi'},{'An'},{'Ad'},{'Pa'},,&,1/1,&
&,{'Mi'},{'An'},,,,&,3/1,&
&,{'Mi'},{'Br'},,,,&,1/1,&
&,{'Mi'},{'Sc'},{'Ad'},{'An'},,&,1/1,&
&,{'Mi'},{'Sc'},{'Ad'},,,&,1/1,&
&,{'Mi'},{'Se'},{'Je'},,,&,1/1,&
&,{'Mi'},{'Ze'},,,,&,1/1,&
&,{'Mi'},{'Zo'},{'Ze'},,,&,1/1,&
&,{'Mi'},{'Br'},{'Zo'},,,&,1/1,&
&,{'Mi'},{'Wh'},,,,&,1/1,&
&,{'Mi'},{'Zo'},,,,&,1/1,&
&,{'Mi'},{'An'},,,,&,2/1,&
&,{'Mi'},{'Zo'},,,,&,1/1,&
&,{'Mi'},,,,,&,575/1,&
&,{'Pa'},{'Ad'},,,,&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Br'},{'Sc'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Je'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Je'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Sc'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Sc'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Wh'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Wr'},,&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Ze'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Ze'},,&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Zo'},{'Sc'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},{'Zo'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'An'},,,&,3/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Sc'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Sc'},,&,1/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Se'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Ze'},{'An'},&,1/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Zo'},{'Sc'},&,2/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Zo'},{'Ze'},&,2/1,&
&,{'Pa'},{'Ad'},{'Br'},{'Zo'},,&,1/1,&
&,{'Pa'},{'Ad'},{'Br'},,,&,1/1,&
&,{'Pa'},{'Ad'},{'Je'},{'An'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'Je'},{'Se'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'Je'},{'Wh'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'Je'},{'Ze'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'Mi'},{'Je'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Mi'},{'Se'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'Mi'},{'Ze'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'Mi'},{'Zo'},{'Br'},&,1/1,&
&,{'Pa'},{'Ad'},{'Mi'},{'Zo'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'Mi'},,,&,2/1,&
&,{'Pa'},{'Ad'},,,,&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Br'},{'Je'},&,2/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Je'},{'Br'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Je'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Je'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Mi'},{'Br'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Wh'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Ze'},{'An'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Ze'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},{'Zo'},,&,1/1,&
&,{'Pa'},{'Ad'},{'Sc'},,,&,2/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Br'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Mi'},{'Sc'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Mi'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Sc'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Wh'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Ze'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},{'Zo'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'Se'},,,&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'An'},,&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Br'},{'An'},&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Br'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Mi'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Mi'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Sc'},{'Ze'},&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Se'},{'Br'},&,1/1,&
&,{'Pa'},{'Ad'},{'Wh'},{'Se'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Br'},{'Sc'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Mi'},{'An'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Mi'},{'Sc'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Sc'},{'Br'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Sc'},{'Mi'},&,2/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Sc'},{'Wh'},&,2/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Se'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Wr'},{'Zo'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Zo'},{'Br'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Zo'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},{'Zo'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Ze'},,,&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'An'},{'Mi'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Br'},{'Je'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Br'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Je'},{'An'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Je'},{'Sc'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Je'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Je'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Mi'},{'An'},&,2/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Mi'},{'Se'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},,,&,2/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Sc'},{'An'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Sc'},{'Wh'},&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Ze'},{'Sc'},&,2/1,&
&,{'Pa'},{'Ad'},{'Zo'},{'Ze'},,&,1/1,&
&,{'Pa'},{'Ad'},{'Zo'},,,&,4/1,&
&,{'Pa'},{'Ad'},{'An'},,,&,1/1,&
&,{'Pa'},{'Ad'},,,,&,4/1,&
&,{'Pa'},{'An'},{'Ad'},{'Br'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Ad'},{'Je'},{'Br'},&,1/1,&
&,{'Pa'},{'An'},{'Ad'},{'Je'},{'Sc'},&,2/1,&
&,{'Pa'},{'An'},{'Ad'},{'Sc'},{'Mi'},&,2/1,&
&,{'Pa'},{'An'},{'Ad'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'An'},{'Ad'},{'Se'},,&,1/1,&
&,{'Pa'},{'An'},{'Ad'},{'Ze'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Ad'},,,&,2/1,&
&,{'Pa'},{'An'},,,,&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Ad'},,&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Je'},{'Zo'},&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Mi'},{'Wh'},&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Sc'},{'Je'},&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Sc'},{'Mi'},&,2/1,&
&,{'Pa'},{'An'},{'Br'},{'Sc'},{'Wh'},&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Zo'},{'Mi'},&,1/1,&
&,{'Pa'},{'An'},{'Br'},{'Zo'},,&,1/1,&
&,{'Pa'},{'An'},{'Br'},,,&,1/1,&
&,{'Pa'},{'An'},{'Je'},{'Sc'},{'Mi'},&,1/1,&
&,{'Pa'},{'An'},{'Je'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'An'},{'Je'},{'Wh'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Je'},{'Zo'},{'Mi'},&,1/1,&
&,{'Pa'},{'An'},{'Je'},{'Zo'},{'Ze'},&,1/1,&
&,{'Pa'},{'An'},{'Mi'},{'Ad'},{'Br'},&,1/1,&
&,{'Pa'},{'An'},{'Mi'},{'Br'},{'Sc'},&,1/1,&
&,{'Pa'},{'An'},{'Mi'},{'Sc'},,&,1/1,&
&,{'Pa'},{'An'},{'Mi'},,,&,1/1,&
&,{'Pa'},{'An'},,,,&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Ad'},,&,2/1,&
&,{'Pa'},{'An'},{'Sc'},{'Br'},{'Mi'},&,3/1,&
&,{'Pa'},{'An'},{'Sc'},{'Br'},{'Wh'},&,2/1,&
&,{'Pa'},{'An'},{'Sc'},{'Br'},{'Zo'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Br'},,&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Je'},{'Wr'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Mi'},{'Br'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Mi'},,&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Wh'},{'Ze'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Wh'},,&,2/1,&
&,{'Pa'},{'An'},{'Sc'},{'Wr'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Ze'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Zo'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Sc'},{'Br'},,&,1/1,&
&,{'Pa'},{'An'},{'Sc'},,,&,4/1,&
&,{'Pa'},{'An'},{'Se'},{'Ad'},{'Mi'},&,1/1,&
&,{'Pa'},{'An'},{'Se'},{'Je'},{'Mi'},&,1/1,&
&,{'Pa'},{'An'},{'Se'},{'Mi'},{'Sc'},&,1/1,&
&,{'Pa'},{'An'},{'Se'},{'Mi'},{'Zo'},&,1/1,&
&,{'Pa'},{'An'},{'Se'},{'Zo'},{'Wh'},&,1/1,&
&,{'Pa'},{'An'},{'Se'},,,&,1/1,&
&,{'Pa'},{'An'},{'Wh'},{'Je'},{'Sc'},&,1/1,&
&,{'Pa'},{'An'},{'Wh'},{'Sc'},{'Ad'},&,1/1,&
&,{'Pa'},{'An'},{'Wh'},{'Sc'},{'Br'},&,2/1,&
&,{'Pa'},{'An'},{'Wh'},{'Sc'},,&,1/1,&
&,{'Pa'},{'An'},{'Wh'},{'Wr'},{'Br'},&,1/1,&
&,{'Pa'},{'An'},{'Wh'},{'Zo'},,&,1/1,&
&,{'Pa'},{'An'},{'Wh'},,,&,1/1,&
&,{'Pa'},{'An'},{'Wr'},{'Se'},{'Wh'},&,1/1,&
&,{'Pa'},{'An'},{'Wr'},,,&,1/1,&
&,{'Pa'},{'An'},{'Ze'},{'Br'},{'Sc'},&,1/1,&
&,{'Pa'},{'An'},{'Ze'},{'Wh'},{'Zo'},&,1/1,&
&,{'Pa'},{'An'},{'Ze'},{'Zo'},{'Je'},&,1/1,&
&,{'Pa'},{'An'},{'Ze'},{'Zo'},{'Mi'},&,1/1,&
&,{'Pa'},{'An'},{'Ze'},,,&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Ad'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Mi'},{'Br'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Mi'},{'Sc'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Mi'},{'Ze'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Sc'},{'Je'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Se'},{'Wh'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Wh'},,&,1/1,&
&,{'Pa'},{'An'},{'Zo'},{'Ze'},{'Se'},&,1/1,&
&,{'Pa'},{'An'},{'Zo'},,,&,2/1,&
&,{'Pa'},{'An'},,,,&,1/1,&
&,{'Pa'},{'An'},,,,&,45/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Je'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Je'},{'Se'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Je'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Mi'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Sc'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Sc'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Sc'},{'Ze'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Sc'},,&,2/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Se'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Wh'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Wh'},{'Sc'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Ze'},{'An'},&,2/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Ze'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Ze'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Ze'},{'Zo'},&,6/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Zo'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Zo'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Zo'},{'Wh'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Zo'},{'Wr'},&,1/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Zo'},{'Ze'},&,2/1,&
&,{'Pa'},{'Br'},{'Ad'},{'Zo'},,&,2/1,&
&,{'Pa'},{'Br'},{'Ad'},,,&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Sc'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Sc'},,&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Wh'},{'Sc'},&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Ze'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Zo'},{'Ze'},&,1/1,&
&,{'Pa'},{'Br'},{'An'},{'Zo'},,&,1/1,&
&,{'Pa'},{'Br'},{'An'},,,&,5/1,&
&,{'Pa'},{'Br'},{'Je'},{'Ad'},{'Wr'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'An'},,&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Mi'},{'Sc'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Sc'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Sc'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Se'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Wh'},{'Ze'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Zo'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Je'},{'Zo'},,&,1/1,&
&,{'Pa'},{'Br'},{'Je'},,,&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Ad'},{'Ze'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'An'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Je'},{'Ze'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Sc'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Sc'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Sc'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Sc'},{'Se'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Sc'},,&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Wh'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Wh'},{'Je'},&,14/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Wh'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Wh'},,&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Wh'},,&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Wr'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Ze'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Ze'},{'Sc'},&,2/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Ze'},{'Wh'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Zo'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Zo'},{'Sc'},&,1/1,&
&,{'Pa'},{'Br'},{'Mi'},{'Zo'},,&,2/1,&
&,{'Pa'},{'Br'},{'Mi'},,,&,2/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ad'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ad'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ad'},{'Wh'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ad'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ad'},,&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'An'},{'Ad'},&,2/1,&
&,{'Pa'},{'Br'},{'Sc'},{'An'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'An'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'An'},,&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Je'},{'Wh'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Mi'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Mi'},{'Wr'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Wh'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Wh'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Wh'},{'Ze'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Wh'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ze'},{'Ad'},&,2/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ze'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Ze'},{'Zo'},&,2/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Zo'},{'Ad'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Zo'},{'An'},&,2/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Zo'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Sc'},{'Zo'},,&,3/1,&
&,{'Pa'},{'Br'},{'Sc'},,,&,2/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Ad'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Ad'},,&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Je'},{'Se'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Je'},,&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Mi'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Mi'},{'Wr'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Sc'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Se'},{'An'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Se'},{'Je'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Ze'},{'Zo'},&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},{'Ze'},,&,1/1,&
&,{'Pa'},{'Br'},{'Wh'},,,&,1/1,&
&,{'Pa'},{'Br'},{'Wr'},,,&,1/1,&
&,{'Pa'},{'Br'},{'Ze'},{'Ad'},{'Sc'},&,1/1,&
&,{'Pa'},{'Br'},{'Ze'},{'Ad'},{'Wh'},&,1/1,&
&,{'Pa'},{'Br'},{'Ze'},{'Ad'},{'Zo'},&,2/1,&
&,{'Pa'},{'Br'},{'Ze'},{'An'},{'Mi'},&,1/1,&
&,{'Pa'},{'Br'},{'Ze'},{'An'},{'Zo'},&,1/1,&
