VoteKit RankProfile
Candidates
(Laura Streib:Laura ),(Michelle DePass:Michel),(Nabil Zaghloul:Nabil ),(Jennifer Park:Jennif),(Will Mespelt:Will M),(Debbie Kitchin:Debbie),(Chris Olson:Chris ),(Jonathan Tasini:Jonath),(Antonio Jamal PettyJohnBlue:Antoni),(Nat West:Nat We),(Reuben Berlin:Reuben),(Marnie Glickman:Marnie),(Sameer Kanal:Sameer),(Tiffani Penson:Tiffan),(Elana Pirtle-Guiney:Elana ),(Sam Sachs:Sam Sa),(Dan Ryan:Dan Ry),(Bob Simril:Bob Si),(Liz Taylor:Liz Ta),(Mariah Hudson:Mariah),(Michael (Mike) Marshall:Michae),(James Armstrong:James )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Nat We'},{'Sameer'},{'Tiffan'},{'Elana '},{'Mariah'},{'Reuben'},&,1.0,&
{'Tiffan'},{'Sameer'},{'Nabil '},{'Nat We'},{'Elana '},{'Antoni'},&,1.0,&
{'Elana '},{'Nabil '},{'Mariah'},{'Tiffan'},{'Michel'},{'Marnie'},&,1.0,&
{'Jonath'},{'Dan Ry'},{'Liz Ta'},{'Elana '},{'Marnie'},{'Nat We'},&,1.0,&
{'Debbie'},{'Tiffan'},{'Michae'},{'Jonath'},{'Mariah'},{'Bob Si'},&,1.0,&
{'Dan Ry'},{'Bob Si'},{'Sameer'},{'Tiffan'},{'Elana '},{'Mariah'},&,1.0,&
{'Michae'},{'Dan Ry'},{'Marnie'},{'Michel'},{'Sameer'},{'James '},&,1.0,&
{'Dan Ry'},{'Michae'},{'Jennif'},{'Tiffan'},{'Sam Sa'},{'Laura '},&,1.0,&
{'Michel'},{'James '},,,,,&,1.0,&
{'Nat We'},,,,,,&,1.0,&
{'Debbie'},{'Marnie'},{'Tiffan'},{'Jennif'},{'Elana '},{'Mariah'},&,1.0,&
{'Jennif'},{'Marnie'},{'Nat We'},{'Elana '},{'Sameer'},{'Debbie'},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Sam Sa'},{'Mariah'},,,,,&,1.0,&
{'Marnie'},{'Sameer'},{'Debbie'},{'Jennif'},{'Elana '},{'Michae'},&,1.0,&
{'Sameer'},{'Nat We'},{'Marnie'},{'James '},{'Tiffan'},{'Elana '},&,1.0,&
{'Nabil '},{'Bob Si'},{'Sameer'},,,,&,1.0,&
{'Elana '},{'Nabil '},{'Mariah'},{'Tiffan'},{'Michel'},{'Marnie'},&,1.0,&
{'Dan Ry'},{'Nabil '},{'Elana '},{'Michel'},,,&,1.0,&
{'Dan Ry'},{'Elana '},{'Nabil '},{'Michel'},{'Tiffan'},,&,1.0,&
{'Michae'},{'Dan Ry'},{'Sameer'},{'Michel'},{'Elana '},,&,1.0,&
{'Sameer'},{'Debbie'},{'Nat We'},{'Reuben'},{'Chris '},{'Marnie'},&,1.0,&
{'Dan Ry'},{'Elana '},{'Mariah'},{'Nabil '},{'Reuben'},{'Debbie'},&,1.0,&
{'Elana '},{'Jonath'},{'Mariah'},{'Reuben'},{'Nat We'},,&,1.0,&
{'Elana '},{'Jennif'},{'Liz Ta'},{'Laura '},{'Mariah'},{'Debbie'},&,1.0,&
{'Nat We'},{'Bob Si'},{'Elana '},{'Tiffan'},{'Debbie'},{'Michel'},&,1.0,&
{'Michae'},{'Liz Ta'},{'James '},{'Dan Ry'},{'Chris '},{'Bob Si'},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Elana '},{'Jennif'},{'Tiffan'},{'Mariah'},{'Michel'},{'Marnie'},&,1.0,&
{'Marnie'},{'Laura '},{'Michae'},{'Jennif'},{'Reuben'},{'Sameer'},&,1.0,&
{'Dan Ry'},{'Tiffan'},{'Nat We'},{'Mariah'},{'Jonath'},{'Elana '},&,1.0,&
{'Jonath'},{'Liz Ta'},{'Dan Ry'},,,,&,1.0,&
{'Dan Ry'},{'Tiffan'},{'Nat We'},{'Sameer'},,,&,1.0,&
